dog_id,vendor_name,date_expense,amount_expense,description
18,Arrieros Pet Shop,2019-11-08,0.05,Trixie Activity Flip Board Activity Strategy Game Dog Toy
189,Canine Learning Centers,2020-04-24,21.49,KONG Easy Treat Dog Treat - Bacon & Cheese Food
18,Decker's Dog and Cat,2019-12-28,14.9,American Journey Salmon & Sweet Potato Recipe Grain-Free Dry Dog Food
12,Dr Arnold,2019-04-09,277.37,Exploratory celiotomy - left flank
14,Dr Brown,2019-02-18,124.43,vaccination
9,Dr Hudson,2019-01-26,144.22,Exploratory celiotomy - ventral midline 
25,Dr Jones,2019-03-17,95.29,fractures
11,Dr Rozenman,2019-02-12,278.95,NULL
7,Dr Smith,2019-01-28,105.07,medicine
86,Dr Towers,2019-07-26,117.82,"Abomasopexy, left flank "
18,Dr Wilson,2019-08-09,86.07,NULL
9,Kahoots Pet,2019-02-16,60.56,Blue Buffalo Homestyle Recipe Chicken Dinner with Garden Vegetables & Brown Rice Canned Dog Food
33,Pawerica Pet Store,2019-04-09,6.79,Nylabone DuraChew Textured Ring Flavor Medley Dog Chew Toy
70,Pet Group Inc,2019-06-28,19.34,JW Pet Hol-ee Roller Dog Toy
18,Pet Kingdom,2019-03-15,19.67,Top Paw Spiky Ball Toy
188,Petco,2020-05-15,6.61,Purina Pro Plan Focus Adult Sensitive Skin & Stomach Salmon & Rice Formula Dry Dog Food
72,TagWorks,2019-08-11,20.52,American Journey Salmon & Sweet Potato Recipe Grain-Free Dry Dog Food
49,Unleashed by Petco,2019-06-13,9.92,Top Paw Spiky Ball Toy
